,Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence,Adjective Density,Spellcheck Percentage,Syllable Ratio,Latinate vs Germanic
21,21,3ZUE82NE090LPFZF84N99NM317YF8M,6.0,6.6,2.6,28,193,87.5,4.85714285714,67.8571428571,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.,9.090909090909092,0.0,1.6785714285714286,6.25
22,22,34HEO7RUG5TWBTX3WX7HM36HUJAARH,4.8,5.6,4.4,22,126,86.3636363636,5.68181818182,59.0909090909,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida.",4.0,4.545454545454546,1.3636363636363635,0.0
23,23,3WJGKMRWVH8Q3YBWYA8ON9F1FL3CDE,6.0,6.0,3.8,23,126,78.2608695652,5.04347826087,65.2173913043,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009.",8.0,0.0,1.2173913043478262,0.0
24,24,3WRBLBQ2GQ79LQQ7OKGCYTGXJON0GK,4.8,5.8,2.2,32,173,84.375,5.3125,62.5,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009.",11.428571428571429,0.0,1.40625,26.666666666666668
25,25,3FVBZG9CLIDNLMLI8QYUJTSYYO00HJ,6.6,5.8,2.6,28,164,85.7142857143,5.67857142857,57.1428571429,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009.",3.333333333333333,0.0,1.3214285714285714,22.22222222222222
26,26,3BFNCI9LYJPM9PE3E4U1UE1BNXO37F,5.8,6.4,3.4,22,128,79.5454545455,5.45454545455,59.0909090909,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida.",8.0,4.545454545454546,1.3636363636363635,0.0
27,27,36AZSFEYZ3ZTNAJCBVCNIBFQX77VBP,5.2,6.4,4.2,35,201,92.8571428571,4.57142857143,62.8571428571,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla.",5.128205128205128,0.0,1.2571428571428571,18.75
28,28,3OKP4QVBP1W5M3OPGMD5NZSASAZGAR,5.8,7.0,5.4,30,173,88.3333333333,4.2,56.6666666667,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009.",3.125,0.0,1.3333333333333333,20.0
29,29,35A1YQPVFDFMCOI3BEMR00P4F9PI5E,5.4,6.2,3.4,30,194,86.6666666667,5.76666666667,70.0,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",20.0,3.333333333333333,1.5666666666666669,26.666666666666668
30,30,3VO4XFFP14LEGQK5CF6X7MUMXP1Q74,5.6,5.8,2.2,15,101,80.0,4.13333333333,66.6666666667,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field,5.263157894736842,33.33333333333333,1.8,37.5
31,31,3909MD9T2YG2YG96L7991XIPCAWFEL,4.6,4.8,2.8,10,52,80.0,4.5,60.0,"2Ares I First Stage Motor Unveiled on July 20, 2009.",0.0,0.0,1.3,20.0
32,32,3JMQI2OLFY49U28NN0H23K9DEPIDNY,3.6,2.6,4.6,9,38,66.6666666667,4.77777777778,44.4444444444,2) Create a story about in in 6 words.,0.0,11.11111111111111,1.2222222222222223,0.0
33,33,3MYASTQBG6AUXZLF3S9J7E4IJ05DQL,5.2,4.2,3.0,6,31,91.6666666667,8.16666666667,66.6666666667,2) Double click on New Printer.,0.0,16.666666666666664,1.3333333333333333,0.0
34,34,30EMX9PEVJIEOL62NDKB6RE9LXMSK1,3.8,3.6,3.0,24,112,60.4166666667,5.58333333333,70.8333333333,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?",4.166666666666666,0.0,1.2916666666666667,10.526315789473683
35,35,31MBOZ6PANQ91AZOBR6C6MN6OU5CLU,3.4,2.2,4.6,10,41,75.0,5.3,50.0,2. Is the cave of the winds hard to walk?,10.0,0.0,1.0,14.285714285714285
36,36,3QREJ3J432WRK8BC34NAU50ET3EKLF,1.4,4.8,3.2,13,62,61.5384615385,2.92307692308,69.2307692308,2) Just wipe the Mac OS X partition when u install the dapper.,0.0,0.0,1.3076923076923077,20.0
37,37,3IHWR4LC7CC5Z6159CTUCKZVHZQI8G,4.8,5.0,4.8,7,44,78.5714285714,0.571428571429,71.4285714286,2) Marty Peretz apologizes to Matt Yglesias.,0.0,28.57142857142857,1.5714285714285714,0.0
38,38,3YCT0L9OML8FWRR5KQCRYJVDFSRSN6,5.4,6.6,3.6,12,69,75.0,2.41666666667,66.6666666667,2. Select Network Printer and use the listbox to choose HP JetDirect.,0.0,16.666666666666664,1.5,0.0
39,39,3FBEFUUYRJ43PAZJ494JB8FLYWVA6I,3.0,5.2,5.0,18,93,55.5555555556,5.5,61.1111111111,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here.",10.0,0.0,1.1111111111111112,5.555555555555555
40,40,372AGES0I348765W77ZV6BHFV4IXR7,2.4,5.6,3.6,49,252,57.1428571429,4.4693877551,57.1428571429,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu.",5.88235294117647,12.244897959183673,1.2857142857142858,11.11111111111111
41,41,3UYRNV2KISYXD7CW6S6MHSVC3YKN81,1.2,1.8,5.0,8,40,37.5,1.875,50.0,2. What the hell isn't he talking about?,0.0,0.0,1.25,0.0
42,42,36JW4WBR05JEIQ08B8HFM0F24QOFH1,4.6,5.6,3.6,26,143,59.6153846154,3.03846153846,57.6923076923,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address.",6.666666666666667,3.8461538461538463,1.2692307692307692,29.411764705882355
43,43,3AJA9FLWSBXEELBSHQZ0MCGH433IFX,2.2,1.4,3.4,12,79,75.0,2.08333333333,58.3333333333,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?",6.666666666666667,8.333333333333332,1.4166666666666667,0.0
44,44,3OYHVNTV5SXZQTE9GW32MM48O8JKOW,5.0,5.0,5.2,7,44,92.8571428571,2.42857142857,71.4285714286,3.) Chamber of Commerce chief battles Obama.,14.285714285714285,14.285714285714285,1.5714285714285714,0.0
45,45,37NXA7GVSS550J5O281HWEBV91LVLC,4.4,6.4,1.4,41,222,65.8536585366,3.51219512195,53.6585365854,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward""",0.0,5.0,1.25,20.689655172413797
46,46,304QEQWKZOJXD375C3TK32PZAAE0O7,5.6,6.4,3.4,33,205,86.3636363636,5.75757575758,66.6666666667,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle.",16.666666666666664,0.0,1.4545454545454546,50.0
47,47,3VO4XFFP14LEGQK5CF6X7MUMXP17QL,2.4,3.0,4.6,11,52,81.8181818182,3.36363636364,63.6363636364,"3) ""Great beer and great wine are on the same team.""",18.181818181818183,0.0,1.0,7.142857142857142
48,48,3SA4EMRVJU1FY3J6R36ZS2UPKFA0PO,2.4,4.6,5.0,7,40,28.5714285714,6.0,71.4285714286,3. i believe you just press CTRL+(click),12.5,14.285714285714285,1.1428571428571428,50.0
49,49,31MCUE39BJL52IP477YV0RE4M073GI,4.6,4.2,2.4,12,55,91.6666666667,4.83333333333,50.0,3. In the Host box type the IP address of your printer.,0.0,0.0,1.1666666666666667,20.0
50,50,3XDSWAMB21RKS7F13WE8N8M0Y0SCQJ,2.8,2.2,3.8,7,34,85.7142857143,5.0,57.1428571429,3) Purchase a new 2 button mouse..,14.285714285714285,28.57142857142857,1.2857142857142858,0.0
51,51,31KPKEKW49CDU9IW8YOYXIP03BVB0E,4.6,5.8,3.0,15,94,66.6666666667,1.4,66.6666666667,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")",6.666666666666667,6.666666666666667,1.5333333333333334,60.0
52,52,3K3G488TR17ZTM6MOMR092GQ6J75Q5,5.2,6.0,3.2,29,156,60.3448275862,4.1724137931,55.1724137931,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here.",6.896551724137931,3.4482758620689653,1.3103448275862069,13.043478260869565
53,53,37PGLWGSJS5PU736I1QX2P8MCZKIKZ,4.4,5.0,4.6,7,36,50.0,2.42857142857,57.1428571429,3) We choose a winning 6-word story.,0.0,0.0,1.2857142857142858,0.0
54,54,34F34TZU7VYQ82JMBD5TEU1S8EOJ2R,4.8,2.4,4.0,13,62,80.7692307692,2.61538461538,53.8461538462,3. Will the threat of a lawsuit do anything to the Palin camp?,0.0,7.6923076923076925,1.1538461538461535,8.333333333333332
55,55,3U18MJKL1TLZPA29N4MRJERVTP5NC7,4.0,5.2,2.8,36,181,55.5555555556,5.5,58.3333333333,"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this.",2.702702702702702,8.333333333333332,1.1388888888888888,3.125
56,56,3IHWR4LC7CC5Z6159CTUCKZVHZR8I7,2.8,5.0,4.4,6,30,83.3333333333,6.0,83.3333333333,4-Albany NY has a great museum,14.285714285714285,0.0,1.5,33.33333333333333
57,57,35U0MRQMUI6D648LF0H9OVFP46QVOT,3.4,2.2,5.8,8,46,68.75,7.375,75.0,4.) Are washing machines the new water savers?,12.5,12.5,1.375,0.0
58,58,38DCH97KHG170LL7DOVUACZVOK1QJB,2.6,2.6,3.8,3,17,83.3333333333,3.66666666667,66.6666666667,4. Click Forward.,0.0,0.0,1.3333333333333333,-1.0
59,59,3MIVREZQVGX2B5RPV9V6BRZ8391QKA,4.2,5.4,3.4,22,118,59.0909090909,6.22727272727,59.0909090909,"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing.",8.695652173913043,0.0,1.2727272727272727,12.5
60,60,374UMBUHN4OXKN7TK083SDXNI7RCTX,5.0,5.6,2.6,13,63,88.4615384615,3.46153846154,53.8461538462,"4. In the ""host:"" box, type the IP address of the print server.",0.0,0.0,1.1538461538461535,50.0
61,61,3HEADTGN2ORG3H017SYDIQKUFTAVR2,5.4,6.2,2.0,21,125,83.3333333333,4.19047619048,71.4285714286,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona.",4.545454545454546,4.761904761904762,1.4761904761904765,23.07692307692308
62,62,3ZC62PVYDG9S42R8G65NVT33WL3XX3,4.2,4.2,6.0,6,32,33.3333333333,10.1666666667,66.6666666667,"4)Please, do not take the train.",0.0,0.0,1.0,0.0
63,63,3X52SWXE0W4PC4BNF5DEFX4MM19CWN,5.0,5.4,4.0,13,68,65.3846153846,2.76923076923,53.8461538462,"4) The story, along with the object, will then be auctioned on eBay.",0.0,0.0,1.2307692307692308,0.0
64,64,3M0556243RJ6SMMJE6CSRKCYQ2XNFI,6.4,5.2,4.8,12,80,75.0,6.58333333333,58.3333333333,"4) ""We find no clear relation between income inequality and class-based voting.""",7.6923076923076925,0.0,1.75,66.66666666666666
65,65,3L55D8AUF9WT196NU6V20UP2X99CYM,2.8,4.6,4.2,5,35,80.0,3.0,100.0,50 kb/s doing Scottsdale.AZ server.,14.285714285714285,40.0,1.6,50.0
66,66,3YGE63DIN7W5ICG73PKUKW2LDCD0WJ,3.2,3.0,6.0,7,47,78.5714285714,2.57142857143,71.4285714286,5.) Harry Potter sports an environmental audit.,14.285714285714285,14.285714285714285,2.0,50.0
67,67,3BA7SXOG1IPIS54OZZN3QC0M4VA8RB,3.0,4.4,3.4,12,57,66.6666666667,4.16666666667,41.6666666667,5. Leave the Port as 9100 (default for me already in box),0.0,0.0,1.1666666666666667,14.285714285714285
68,68,3WGCNLZJKE76GV1YIDJ46DWABOCD1P,2.4,5.6,4.2,8,43,81.25,2.625,75.0,5)Many spas around- try the Mirror Lake Inn,11.11111111111111,0.0,1.125,0.0
69,69,3J06WJ78HMJ8WOHIGC3NJN9X0ZNVVV,4.8,6.2,2.2,30,170,81.6666666667,3.33333333333,56.6666666667,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket.",12.5,0.0,1.3666666666666667,25.0
70,70,31ODACBENTE0ZO4X0I482DQIK3EQSR,2.6,5.0,4.0,11,57,59.0909090909,6.72727272727,54.5454545455,5) The winning six-word writer gets to keep all the loot.,0.0,0.0,1.2727272727272727,0.0
71,71,3MQKOF1EE1NZHWH1F18PZ3M471MDWP,2.2,4.4,3.6,11,56,54.5454545455,4.63636363636,63.6363636364,"6:13: So far, we've had a mummy, a cowboy, a ladybug....",0.0,0.0,1.3636363636363635,20.0
72,72,3OKP4QVBP1W5M3OPGMD5NZSASAYAGK,5.2,6.0,2.2,31,173,83.8709677419,4.58064516129,67.7419354839,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft.",0.0,0.0,1.3870967741935485,0.0
73,73,3HA5ODM5K9RS4W0EMHYI80PQ1VTSVN,3.0,4.0,4.4,5,29,70.0,4.0,60.0,"6. click the ""Forward"" button",0.0,0.0,1.4,-1.0
74,74,39O6Z4JLX1W00DMDGR45786IGAVVXY,1.4,1.6,3.6,3,14,50.0,0.0,66.6666666667,"6) Fun, right?",0.0,0.0,1.0,0.0
75,75,3X2LT8FDHVHN01LAYTX9DB83WAP8WE,3.8,5.8,3.8,20,119,80.0,3.2,65.0,"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few.",15.0,5.0,1.3,7.6923076923076925
76,76,3W9XHF7WGJUF3LJHCDP1GWAVNG0KTI,3.0,5.2,4.2,15,76,36.6666666667,4.73333333333,60.0,"7:16: We've been honing our act, and we finally got 4 little girls to laugh.",5.88235294117647,0.0,1.2666666666666666,9.090909090909092
77,77,32PT7WK7DLE2QYFD5HXNU6B798QD3H,5.6,6.6,3.8,38,266,72.3684210526,3.52631578947,60.5263157895,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions.",5.263157894736842,0.0,2.0,10.526315789473683
78,78,351S7I5UG8VMXO8FXW3D6I4QJ9ENJL,4.4,4.4,2.6,11,63,81.8181818182,2.81818181818,45.4545454545,7. Select the Printer manufacturer and the model from the lists,0.0,0.0,1.6363636363636365,33.33333333333333
79,79,3SBNLSTU6T43BRM6QOSWY7GMO3QDZF,3.2,3.4,3.2,3,17,83.3333333333,3.66666666667,66.6666666667,"8. click ""Apply.""",0.0,0.0,1.3333333333333333,-1.0
80,80,3PUV2Q8SV337TTJQKACTCP9JX04BD7,5.2,5.8,4.8,33,202,87.8787878788,5.69696969697,72.7272727273,"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand.",2.7777777777777777,0.0,1.5454545454545454,37.5
81,81,38O9DZ0A61MEK74FRUB45QWNM84628,5.6,6.4,4.2,32,185,89.0625,4.84375,68.75,"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt.",2.857142857142857,0.0,1.46875,20.0
82,82,3X2YVV51PT35P11PZ8OUY1LVI4IW1H,5.6,6.6,4.0,32,159,78.125,2.5,43.75,"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache.",3.0303030303030303,12.5,1.1875,12.5
83,83,3ULIZ0H1V94BCIM5371L818IY7F156,2.4,3.6,4.4,9,42,77.7777777778,4.66666666667,66.6666666667,A 2 room suite or adjacent rooms is great.,22.22222222222222,11.11111111111111,1.2222222222222223,60.0
84,84,3UDTAB6HH5YU6G3ZAEA26CUAFBS902,5.4,6.2,3.8,20,124,77.5,6.35,70.0,"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush.",4.761904761904762,0.0,1.65,25.0
85,85,3S8APUMBJWI4RDXMBG7J0PC49DKBFI,5.6,4.6,4.8,16,92,65.625,3.25,62.5,Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.,0.0,0.0,1.5625,10.0
86,86,3HJ1EVZS2NIWR8YINIS7ZVSBO9I3RE,5.6,5.4,4.2,34,210,79.4117647059,2.91176470588,64.7058823529,"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process.",5.714285714285714,8.823529411764707,1.5294117647058822,20.0
87,87,3S1WOPCJFFSI3IV24X0UGVAH5HEJET,6.0,6.0,3.6,12,85,91.6666666667,4.5,75.0,Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.,15.384615384615383,0.0,2.0,66.66666666666666
88,88,3DA79LNS58U97NBAR7X2ZATTCUET3G,5.6,5.8,4.0,20,147,80.0,4.45,75.0,"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket.",4.545454545454546,10.0,1.8,40.0
89,89,39XCQ6V3KX36J4N29DD23XZZ6IV659,5.0,5.8,4.2,16,101,84.375,3.375,62.5,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday.",12.5,0.0,1.8125,11.11111111111111
90,90,36GJS3V78UPGNWRTASQIGYVTIXTJGA,5.8,6.4,2.6,34,231,76.4705882353,4.55882352941,64.7058823529,"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired.",5.714285714285714,8.823529411764707,1.7058823529411764,7.142857142857142
91,91,3M47JKRKCW0P6M647BK5FH9Q88W68B,5.6,6.0,3.4,27,165,64.8148148148,6.0,59.2592592593,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.,3.571428571428571,0.0,1.5185185185185186,16.666666666666664
92,92,35F6NGNVM7IR86CXTJ0SCR59HW0T7L,1.0,2.2,3.6,6,29,83.3333333333,9.66666666667,66.6666666667,A BIG THANKYOU GOES TO holli!,0.0,33.33333333333333,1.3333333333333333,-1.0
93,93,35YHTYFL1F2J0RVSGXYJ116BC5ZFVR,6.0,5.8,3.6,17,96,85.2941176471,4.58823529412,58.8235294118,A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.,5.88235294117647,0.0,1.3529411764705883,9.090909090909092
94,94,3JGHED38ECQNPSBR3PNRK8XOWYIY7F,5.8,6.4,3.2,57,328,80.701754386,5.64912280702,66.6666666667,"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.",11.864406779661016,3.571428571428571,1.3214285714285714,12.195121951219512
95,95,3T5ZXGO9DDNX00QBVAYGY6NL7IEQZW,5.4,6.2,2.4,13,68,69.2307692308,3.23076923077,38.4615384615,"About 40 guests were at the Halloween party, aged between 59 and 77.",0.0,0.0,1.2307692307692308,0.0
96,96,3YCT0L9OML8FWRR5KQCRYJVDFSRNS1,6.4,6.0,4.2,18,100,72.2222222222,6.38888888889,61.1111111111,"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months.",0.0,11.11111111111111,1.2222222222222223,12.5
97,97,3RDTX9JRTX08OR3JVDVBLR4XNPY972,5.0,6.4,2.8,22,122,70.4545454545,5.13636363636,63.6363636364,"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District.",4.545454545454546,0.0,1.2272727272727273,12.5
98,98,3VMV5CHJZ7EA1ZNYMM4MI4I2GZJTGO,4.6,5.2,4.2,15,88,66.6666666667,3.06666666667,53.3333333333,"About 75 percent of members voting nationwide rejected the deal, one of the people said.",0.0,0.0,1.5333333333333334,12.5
99,99,3F6045TU7CNC2ARCAATVZNV3IFM99E,4.8,5.6,4.4,16,92,78.125,3.0625,68.75,"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday.",6.25,12.5,1.4375,10.0
100,100,3ZVPAMTJWM2XLKA6IXZRIPHKSENRGA,3.6,5.4,4.6,45,242,61.1111111111,3.82222222222,57.7777777778,"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more.",4.3478260869565215,8.88888888888889,1.2444444444444445,5.128205128205128
101,101,3N3WJQXELRPW3S7MEYH6U9EKC3SL2U,5.6,5.4,2.4,18,110,77.7777777778,4.83333333333,61.1111111111,"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence.",0.0,0.0,1.7222222222222223,9.090909090909092
