Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009.",68.44,14.06,0.0,15.6,10.16,17.0,12.36,11.0,5.708428571428572
"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida.",66.07,10.62,0.0,12.5,9.34,13.0,14.06,13.0,5.113727272727273
"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla.",61.33,14.0,0.0,18.5,9.35,18.5,13.04,14.0,7.002571428571429
"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009.",66.41,14.67,0.0,16.2,10.17,18.0,11.97,12.0,5.929
"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",41.03,17.33,0.0,19.5,13.88,21.0,13.55,14.0,7.075666666666667
2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field,39.33,8.67,0.0,12.8,10.72,8.5,13.85,9.0,4.6739999999999995
"2Ares I First Stage Motor Unveiled on July 20, 2009.",86.71,4.0,0.0,3.8,5.02,4.0,10.45,4.0,3.1089999999999995
2) Create a story about in in 6 words.,96.18,3.6,0.0,-1.3,-1.03,3.5,11.1,4.0,3.0635555555555554
2) Double click on New Printer.,90.77,2.4,0.0,2.0,2.37,2.0,9.2,2.0,3.1183333333333327
"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?",72.5,11.27,0.0,8.0,3.55,13.0,9.43,9.0,5.298
2. Is the cave of the winds hard to walk?,112.09,4.0,0.0,-1.5,-1.37,4.0,7.29,4.0,2.2489999999999997
2) Just wipe the Mac OS X partition when u install the dapper.,83.66,8.28,0.0,3.2,3.23,6.5,14.0,5.0,4.6566153846153835
2) Marty Peretz apologizes to Matt Yglesias.,64.37,8.51,0.0,7.6,9.87,3.5,17.52,8.0,5.511714285714286
2. Select Network Printer and use the listbox to choose HP JetDirect.,67.76,8.13,0.0,7.3,8.92,6.0,12.13,9.0,5.397666666666666
"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here.",95.51,7.2,0.0,7.4,5.62,9.0,8.04,8.0,3.8547777777777776
"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu.",47.12,21.23,0.0,22.7,6.69,26.5,9.61,19.0,8.801061224489795
2. What the hell isn't he talking about?,88.74,3.2,0.0,2.0,2.1,3.0,7.98,3.0,3.042
"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address.",70.47,11.94,0.0,13.0,6.91,14.0,12.21,7.0,5.828076923076923
"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?",76.22,4.8,0.0,11.3,11.82,6.0,8.18,6.0,3.964333333333333
3.) Chamber of Commerce chief battles Obama.,64.37,2.8,0.0,7.6,9.06,2.5,15.26,3.0,6.740285714285713
"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward""",56.26,16.0,0.0,20.0,7.38,20.5,10.75,16.0,7.123999999999999
"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle.",46.44,18.05,0.0,19.8,12.31,20.5,12.93,13.0,7.0556363636363635
"3) ""Great beer and great wine are on the same team.""",111.07,4.4,0.0,2.1,1.55,4.5,5.62,2.0,2.3899999999999997
3. i believe you just press CTRL+(click),106.67,2.8,0.0,5.0,4.94,2.5,10.75,5.0,1.8259999999999998
3. In the Host box type the IP address of your printer.,93.14,4.8,0.0,1.9,2.13,5.0,9.5,5.0,3.247666666666666
3) Purchase a new 2 button mouse..,89.75,2.8,0.0,0.9,0.76,2.5,10.75,3.0,3.0545714285714283
"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")",64.71,8.67,0.0,11.2,9.21,7.5,12.8,8.0,5.247333333333334
"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here.",67.42,12.98,0.0,13.8,8.14,15.5,9.43,9.0,6.707310344827587
3) We choose a winning 6-word story.,89.75,2.8,0.0,2.3,2.44,2.5,10.75,3.0,3.0545714285714283
3. Will the threat of a lawsuit do anything to the Palin camp?,92.12,5.2,0.0,3.2,3.23,5.5,9.14,4.0,3.333538461538461
"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this.",77.24,15.51,0.0,15.7,5.41,19.0,9.37,16.0,6.631666666666666
4-Albany NY has a great museum,73.85,9.07,0.0,1.2,2.37,3.0,14.46,3.0,4.551666666666666
4.) Are washing machines the new water savers?,80.28,3.2,0.0,5.6,6.45,3.0,11.93,6.0,4.116999999999999
4. Click Forward.,93.81,1.2,0.0,3.6,-0.46,0.5,9.05,1.0,1.262
"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing.",74.53,8.8,0.0,10.3,7.25,11.0,6.88,7.0,4.722818181818182
"4. In the ""host:"" box, type the IP address of the print server.",92.12,5.2,0.0,3.5,1.9,5.5,9.14,4.0,3.333538461538461
"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona.",69.28,8.01,0.0,7.4,9.14,5.25,14.68,8.0,5.186166666666665
"4)Please, do not take the train.",116.15,2.4,0.0,2.8,2.37,2.0,6.57,2.0,1.6849999999999998
"4) The story, along with the object, will then be auctioned on eBay.",92.12,5.2,0.0,5.4,5.03,5.5,9.14,6.0,3.995076923076923
"4) ""We find no clear relation between income inequality and class-based voting.""",42.38,11.47,0.0,11.7,12.75,7.0,10.81,11.0,4.680999999999999
50 kb/s doing Scottsdale.AZ server.,66.4,2.0,0.0,10.3,10.76,1.5,25.99,2.0,6.703999999999999
5.) Harry Potter sports an environmental audit.,30.53,8.51,0.0,9.7,11.55,3.5,17.52,12.0,6.740285714285713
5. Leave the Port as 9100 (default for me already in box),93.14,4.8,0.0,2.6,2.6,5.0,9.5,3.0,3.247666666666666
5)Many spas around- try the Mirror Lake Inn,105.66,3.2,0.0,3.8,5.0,3.0,7.98,4.0,1.9669999999999999
"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket.",57.95,16.0,0.0,15.7,9.24,18.0,11.44,16.0,6.215666666666666
5) The winning six-word writer gets to keep all the loot.,85.69,4.4,0.0,4.2,4.74,4.5,11.36,5.0,3.9536363636363636
"6:13: So far, we've had a mummy, a cowboy, a ladybug....",77.23,8.04,0.0,3.8,0.5,5.5,9.92,6.0,3.9536363636363636
"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft.",56.93,14.98,0.0,15.8,9.12,17.5,12.31,13.0,6.874516129032257
"6. click the ""Forward"" button",83.32,2.0,0.0,4.6,3.8,1.5,7.04,2.0,1.544
"6) Fun, right?",119.19,1.2,0.0,-1.2,-8.18,0.5,9.05,1.0,1.262
"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few.",76.56,10.0,0.0,12.1,10.27,11.0,8.58,10.0,4.949
"7:16: We've been honing our act, and we finally got 4 little girls to laugh.",81.63,6.0,0.0,5.5,4.17,7.5,9.64,6.0,3.527333333333333
"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions.",-0.94,24.67,0.0,26.0,17.47,31.0,13.83,23.0,9.365421052631579
7. Select the Printer manufacturer and the model from the lists,60.31,8.04,0.0,6.8,8.97,5.5,11.36,8.0,4.7354545454545445
"8. click ""Apply.""",93.81,1.2,0.0,3.6,-4.29,0.5,14.31,1.0,4.128666666666666
"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand.",46.44,18.05,0.0,19.3,11.79,21.5,11.49,12.0,7.0556363636363635
"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt.",47.46,17.8,0.0,17.2,10.34,20.0,12.63,18.0,7.5009999999999994
"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache.",72.84,14.05,0.0,13.4,4.89,17.0,14.6,15.0,6.694749999999999
A 2 room suite or adjacent rooms is great.,96.18,8.04,0.0,0.9,2.23,4.5,11.1,5.0,3.0635555555555554
"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush.",42.72,14.0,0.0,13.3,11.72,14.0,12.52,14.0,5.808999999999999
Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.,55.24,11.4,0.0,9.2,9.28,9.0,12.33,10.0,5.782500000000001
"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process.",45.43,19.48,0.0,20.1,12.31,23.0,11.82,12.0,7.656529411764705
Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.,25.46,14.8,0.0,13.6,16.63,9.0,12.13,13.0,6.114333333333333
"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket.",34.26,14.0,0.0,18.7,18.1,15.0,12.52,14.0,7.099
"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday.",38.32,11.4,0.0,11.9,12.53,13.0,9.36,12.0,5.244999999999999
"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired.",28.51,23.01,0.0,23.0,16.43,26.0,11.82,23.0,8.41535294117647
Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.,66.23,11.33,0.0,9.6,11.36,7.75,11.91,8.0,5.290648148148147
A BIG THANKYOU GOES TO holli!,90.77,2.4,0.0,0.4,1.38,2.0,9.2,2.0,4.551666666666666
A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.,71.14,6.8,0.0,9.3,9.39,8.5,10.98,9.0,5.259529411764705
"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.",40.02,25.26,0.0,29.5,10.64,33.5,10.64,11.0,9.963571428571427
"About 40 guests were at the Halloween party, aged between 59 and 77.",92.12,5.2,0.0,5.4,5.9,5.5,10.35,6.0,3.333538461538461
"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months.",87.05,9.42,0.0,9.3,8.52,9.0,11.55,9.0,4.8103333333333325
"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District.",82.99,12.44,0.0,11.2,8.3,13.0,9.75,13.0,5.113727272727273
"About 75 percent of members voting nationwide rejected the deal, one of the people said.",64.71,11.33,0.0,9.3,9.97,8.5,10.7,9.0,5.820666666666666
"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday.",72.16,6.4,0.0,9.2,9.28,7.0,10.35,7.0,5.782500000000001
"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more.",59.64,18.89,0.0,21.8,8.49,23.5,11.13,0.0,9.09511111111111
"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence.",44.75,13.87,0.0,11.9,11.77,12.0,12.42,12.0,6.243666666666666
"about wifi-radar: it shows me the same networks as network manager, but it does a better job of getting connected to them.",66.07,10.62,0.0,11.2,8.3,13.0,9.03,10.0,5.113727272727273
"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.",67.42,14.36,0.0,14.5,8.48,16.5,9.43,9.0,6.707310344827587
"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination.",50.84,16.96,0.0,19.0,9.82,20.5,10.59,10.0,7.683027027027027
A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.,72.16,8.9,0.0,10.7,11.08,8.0,9.36,8.0,4.7075
"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District.",44.24,12.81,0.0,14.1,14.39,12.75,11.38,13.0,5.539391891891892
"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race.",32.57,18.67,0.0,17.3,11.91,21.0,10.91,12.0,7.648999999999999
"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . .",19.71,24.32,0.0,27.4,11.68,34.0,11.43,12.0,10.39078431372549
"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag.",48.47,18.85,0.0,17.8,11.21,20.5,9.76,11.0,6.597096774193547
"According to Environment Commissioner Egbebike, local residents have also contributed to the problem.",-0.95,23.66,0.0,17.3,20.63,12.5,14.0,17.0,7.964307692307692
"According to Google, Social Search will enhance the search experience on Google by providing users with more personally relevant search results.",41.7,17.92,0.0,16.9,16.42,15.5,12.2,13.0,7.076190476190476
"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused.",71.14,11.51,0.0,9.5,9.39,10.5,10.05,10.0,5.765411764705883
"According to insiders, the real ""This Is It"" plan was not a single film, but a three-year rollout to rehabilitate Jackson's deteriorated image.",31.21,16.16,0.0,14.8,11.78,15.5,9.58,15.0,6.6993913043478255
"According to my correspondent, this is a unique chance to sample home-style traditional Polish fare, including white borscht, pierogies, blintzes, golambki and much more.",38.66,17.93,0.0,19.4,16.83,17.0,12.06,17.0,6.731333333333334
"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy.",66.74,11.35,0.0,10.1,10.83,8.5,12.78,11.0,3.995076923076923
"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market.",67.42,14.36,0.0,14.4,8.89,16.5,9.98,9.0,6.114206896551723
"According to other forum posts on the web, someone was able to get this working on Cingular with the proper init/dial string, but this would be specific to the provider.",57.95,16.0,0.0,15.6,9.59,19.0,9.86,10.0,6.789
"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia.",45.43,17.13,0.0,19.5,12.31,20.0,9.97,20.0,7.656529411764705
"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent.",42.38,18.04,0.0,21.9,12.49,21.5,11.45,22.0,7.915459459459459
"According to the complaint, Yee did not make any trades himself.",77.23,8.04,0.0,7.2,8.97,5.5,9.92,6.0,3.9536363636363636
"According to the News, ""When the nurse called for a student Thursday morning, Nikiyah's teacher misunderstood and sent the wrong student, [NIkyah's mother Naomi] Troy said.",53.55,13.48,0.0,18.2,13.81,15.0,9.78,10.0,5.828076923076923
"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home.",46.61,16.33,0.0,16.1,13.06,17.25,12.59,13.0,6.92615306122449
"According to this guide:  http://www.askdavetaylor.com/how_do_..._mac_os_x.html  I just need to add ""defaultos=macosx"" to the /etc/yaboot.conf file.",-11.44,14.0,0.0,27.5,24.29,11.5,17.01,19.0,6.394
A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.,40.01,14.98,0.0,20.7,15.5,17.5,12.81,15.0,7.984193548387097
"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B.",66.41,13.33,0.0,15.1,9.41,17.0,11.44,12.0,6.215666666666666
A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.,44.07,21.17,0.0,15.1,10.74,20.5,11.41,11.0,7.194148148148148
A complete experience will unfold that will be interactive and convert to new revenue streams.,47.79,11.33,0.0,11.2,12.69,8.5,10.7,11.0,5.820666666666666
A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.,40.01,16.27,0.0,18.5,13.07,21.5,9.76,16.0,6.597096774193547
"a couple of friends and i decided last minute we wanted to come to Ney York for New Years and the only hotels available are in Flushing, are there any subways near the hotles ion Flushing that will take us to times square or close to that?",57.61,19.65,0.0,21.4,7.16,24.5,10.67,17.0,8.929829787234043
A couple of Marriotts just opened.,90.77,2.4,0.0,4.3,6.25,2.0,11.83,2.0,4.551666666666666
A couple of things to note first: You need Alien to convert the RPMS.,99.57,5.6,0.0,4.4,4.52,6.0,9.97,5.0,4.041571428571428
"Across Yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years.",63.02,13.2,0.0,13.9,10.39,14.5,9.93,11.0,5.74
Activists dump tonnes of coal in Vattenfall protest (28 Oct 09),85.69,8.04,0.0,6.8,8.45,5.5,14.23,6.0,3.9536363636363636
"Activity through October in each of the world's six cyclone basins, from the North Atlantic to the Indian Ocean, has been at or below historical levels.",53.55,13.48,0.0,14.6,10.45,17.0,9.18,10.0,6.158846153846154
"actually: do you (or anyone else here) happen to know whether it could work to simply write a udev-rule that executes a script on ACTION==""remove"" that spins-down the harddrive?",50.5,14.36,0.0,17.3,11.09,17.5,9.98,10.0,6.410758620689656
actually it was an xorg.conf problem.,56.93,9.07,0.0,6.7,8.17,3.0,14.46,7.0,4.551666666666666
"Actually, LOl, it's a really old one, like 32 mb kinda sad really, this thing belongs more in a museum than in a school.",55.58,12.93,0.0,9.6,5.0,16.0,9.43,10.0,5.6563333333333325
"actually, now that you mention it, i think it does only crash after exiting if i have tested the presentation..",51.18,14.0,0.0,10.2,8.24,13.0,8.58,9.0,5.808999999999999
"Adams, appointed in 2003 by then- Gov. Rod Blagojevich to lead the state's chief social services agency, was set to join the Department of Commerce and Economic Opportunity's Office of Trade and Investment in a newly created role as the ""Illinois representative to Africa.""",49.15,16.07,0.0,14.2,11.84,15.0,12.26,12.0,6.677363636363635
"Adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected.",57.61,12.44,0.0,11.6,9.34,13.0,9.03,10.0,5.504636363636363
"Adams says Chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship.",55.58,14.6,0.0,13.6,10.8,15.0,10.09,15.0,5.6563333333333325
"""Add a printer"" dialog should show up now",80.28,8.2,0.0,2.6,3.55,4.0,7.98,4.0,4.116999999999999
ADDED: I swapped in a slightly different pic.,80.28,3.2,0.0,4.9,6.45,4.0,11.93,4.0,3.042
Add the following lines to your /etc/modprobe.d/blacklist file:,46.44,3.2,0.0,15.5,17.36,5.0,13.9,9.0,4.116999999999999
"Add your shots to The Consumerist Flickr Pool, and perhaps they'll get featured in a future story, or even highlighted in a Friday Consumerist Flickr Pool Finds post.",68.44,12.63,0.0,15.9,10.97,15.0,8.97,11.0,6.015571428571429
"A different display driver is used during boot, hence the fact that you see the Ubuntu boot splash, but not the Gnome log-in manager.",64.04,9.6,0.0,12.1,8.65,14.0,7.46,10.0,4.939666666666666
Adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.,60.65,13.92,0.0,13.8,13.87,12.5,12.89,14.0,5.328526315789473
"A diplomatic source said: ""Lord Ashcroft was part of the official party that was organised by Her Majesty's Opposition. His inclusion in the party certainly raised a few eyebrows in Washington, because he's a controversial figure.""",53.21,14.98,0.0,13.2,12.7,13.0,9.79,13.0,5.28811111111111
Admission to house; grounds free.,83.32,10.0,0.0,8.4,9.6,2.5,10.2,10.0,3.264
"A Downing Street staffer said: ""This is being taken very seriously. Diplomatic channels in the Foreign Office are working behind the scenes on David's behalf.""",58.79,8.2,0.0,10.3,11.76,6.25,10.57,11.0,5.009499999999999
"A dozen of the 50 Wal-Mart stores in Massachusetts, including the one in Raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year.",57.95,18.67,0.0,15.7,9.59,20.0,10.91,10.0,6.789
"AFAIK, Linux doesn't use extensions to recognize the type of a file (I guess it uses MIME).",71.14,11.51,0.0,7.8,6.32,10.5,10.98,8.0,5.259529411764705
"afaik ""remove"" in udev means unplugging the device, so trying to spin down the hard drive then would be useless.",76.56,10.0,0.0,10.5,8.53,11.0,9.37,11.0,5.379
A Few Buck the Trend,117.16,2.0,0.0,-4.0,-3.17,1.5,10.2,2.0,1.544
A few companies have decided to buck the trend by not offering any employment contracts.,56.25,16.67,0.0,9.3,10.37,11.5,11.75,10.0,5.820666666666666
A few days ago we got Motorola's Droid in the mail.,94.15,8.04,0.0,1.6,2.13,5.5,8.49,3.0,3.171818181818182
"A few hours from now, tens of thousands of runners will hit New York streets.",98.55,6.0,0.0,5.9,5.73,6.5,10.7,6.0,4.100666666666667
"A few of President Obama's top advisers, as well as one or two rare guests, sit down on the network sofas this Sunday.",73.51,12.68,0.0,9.7,6.22,13.5,9.58,10.0,5.951565217391304
"A few weeks earlier, one of Lozano's family members mockingly held up an official-looking document in Spanish, Hebert said.",43.73,16.02,0.0,14.1,13.23,14.5,12.89,13.0,6.686421052631578
"A few were Maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid.",68.1,12.0,0.0,9.3,7.37,12.0,8.58,9.0,4.949
"A few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school.",51.52,15.49,0.0,15.6,10.8,17.0,9.54,10.0,6.6298571428571424
Afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.,79.6,9.15,0.0,9.0,9.05,8.5,10.98,9.0,5.259529411764705
"Afghan intelligence chief Amrullah Saleh said Afghan authorities had advance information that a Taliban attack in Kabul was in the works but was expected it during rush hour, and officials were unsure of the target.",35.95,20.86,0.0,20.4,12.95,23.5,11.69,12.0,8.476857142857142
