Sentence,ADF Score,FK Grade Level,Reading Time,WF Score
20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.,9.090909090909092,15.4,2.44,7.314300000000001
"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida.",4.0,9.5,1.54,5.5923
"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009.",8.0,7.5,1.53,5.401299999999999
"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009.",11.428571428571429,13.4,2.09,6.2736
"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009.",3.3333333333333335,10.7,2.01,6.0215
"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida.",8.0,9.5,1.57,5.5283
"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla.",5.128205128205128,13.4,2.45,6.5978
"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009.",3.125,11.5,2.12,5.981
"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",20.0,15.0,2.42,6.896299999999999
2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field,5.263157894736842,11.5,1.25,5.707899999999999
"2Ares I First Stage Motor Unveiled on July 20, 2009.",0.0,3.7,0.63,4.9671
2) Create a story about in in 6 words.,0.0,2.1,0.44,5.1152
2) Double click on New Printer.,0.0,2.1,0.38,5.3843000000000005
"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?",4.166666666666666,9.1,1.31,6.066000000000001
2. Is the cave of the winds hard to walk?,10.0,0.1,0.47,5.083900000000001
2) Just wipe the Mac OS X partition when u install the dapper.,0.0,4.8,0.73,5.6106
2) Marty Peretz apologizes to Matt Yglesias.,0.0,6.0,0.56,5.301
2. Select Network Printer and use the listbox to choose HP JetDirect.,0.0,6.8,0.85,6.033200000000001
"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here.",10.0,4.4,1.12,5.863300000000001
"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu.",5.88235294117647,18.9,3.0,7.9746
2. What the hell isn't he talking about?,0.0,2.9,0.48,5.2386
"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address.",6.666666666666667,9.9,1.73,6.1143
"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?",6.666666666666667,5.6,1.0,6.111800000000001
3.) Chamber of Commerce chief battles Obama.,14.285714285714285,6.0,0.56,4.9104
"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward""",0.0,15.4,2.67,7.9983
"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle.",16.666666666666664,15.0,2.54,7.3259
"3) ""Great beer and great wine are on the same team.""",18.181818181818183,0.5,0.62,4.885100000000001
3. i believe you just press CTRL+(click),12.5,0.1,0.5,5.569100000000001
3. In the Host box type the IP address of your printer.,0.0,3.3,0.65,5.5643
3) Purchase a new 2 button mouse..,14.285714285714285,2.5,0.41,5.3972
"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")",6.666666666666667,8.0,1.18,5.9856
"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here.",6.896551724137931,11.1,1.88,6.5068
3) We choose a winning 6-word story.,0.0,2.5,0.44,5.4183
3. Will the threat of a lawsuit do anything to the Palin camp?,0.0,3.6,0.73,5.416
"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this.",2.7027027027027026,11.4,2.14,6.368699999999999
4-Albany NY has a great museum,14.285714285714285,4.5,0.37,5.0159
4.) Are washing machines the new water savers?,12.5,4.1,0.57,4.961900000000001
4. Click Forward.,0.0,0.9,0.22,4.8171
"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing.",8.695652173913043,8.3,1.42,6.1541
"4. In the ""host:"" box, type the IP address of the print server.",0.0,3.6,0.75,5.8484
"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona.",4.545454545454546,6.2,1.54,6.0846
"4)Please, do not take the train.",0.0,-1.5,0.4,5.2171
"4) The story, along with the object, will then be auctioned on eBay.",0.0,3.6,0.82,5.9138
"4) ""We find no clear relation between income inequality and class-based voting.""",7.6923076923076925,10.3,1.01,5.282500000000001
50 kb/s doing Scottsdale.AZ server.,14.285714285714285,5.2,0.46,5.3365
5.) Harry Potter sports an environmental audit.,14.285714285714285,10.7,0.6,5.3317
5. Leave the Port as 9100 (default for me already in box),0.0,3.3,0.68,4.9946
5)Many spas around- try the Mirror Lake Inn,11.11111111111111,0.5,0.53,5.0826
"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket.",12.5,12.6,2.07,6.3471
5) The winning six-word writer gets to keep all the loot.,0.0,4.0,0.69,5.809099999999999
"6:13: So far, we've had a mummy, a cowboy, a ladybug....",0.0,5.2,0.68,5.02
"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft.",0.0,13.0,2.1,6.2203
"6. click the ""Forward"" button",0.0,2.9,0.37,5.195600000000001
"6) Fun, right?",0.0,-2.7,0.18,5.1717
"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few.",15.0,7.6,1.47,5.0946
"7:16: We've been honing our act, and we finally got 4 little girls to laugh.",5.88235294117647,5.6,0.91,5.720200000000001
"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions.",5.263157894736842,22.8,3.36,7.706300000000001
7. Select the Printer manufacturer and the model from the lists,0.0,7.6,0.78,5.7729
"8. click ""Apply.""",0.0,0.9,0.22,5.0787
"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand.",2.7777777777777777,15.0,2.5,6.680699999999998
"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt.",2.857142857142857,14.6,2.26,7.2704
"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache.",3.0303030303030303,11.1,1.88,6.5168
A 2 room suite or adjacent rooms is great.,22.22222222222222,2.1,0.5,5.2548
"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush.",4.761904761904762,12.3,1.54,5.622400000000001
Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.,0.0,9.5,1.13,5.4664
"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process.",5.714285714285714,15.4,2.6,7.3409
Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.,15.384615384615385,12.7,1.09,5.6514
"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket.",4.545454545454546,13.5,1.88,5.535899999999999
"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday.",12.5,11.9,1.26,5.592599999999999
"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired.",5.714285714285714,17.7,2.91,6.405599999999998
Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.,3.571428571428571,7.4,2.04,5.9313
A BIG THANKYOU GOES TO holli!,0.0,2.1,0.35,5.511
A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.,5.88235294117647,7.6,1.18,5.606999999999999
"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.",11.864406779661017,21.6,4.0,8.490300000000001
"About 40 guests were at the Halloween party, aged between 59 and 77.",0.0,3.6,0.82,5.632100000000001
"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months.",0.0,5.6,1.22,6.2825999999999995
"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District.",4.545454545454546,7.2,1.48,5.207400000000001
"About 75 percent of members voting nationwide rejected the deal, one of the people said.",0.0,8.0,1.09,5.791900000000001
"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday.",6.25,7.2,1.13,5.1376
"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more.",4.3478260869565215,16.1,2.91,6.8485000000000005
"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence.",0.0,11.5,1.37,5.9624
"about wifi-radar: it shows me the same networks as network manager, but it does a better job of getting connected to them.",8.695652173913043,9.5,1.48,6.4923
"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.",13.333333333333334,11.1,1.94,6.176900000000001
"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination.",10.526315789473683,15.4,2.53,6.6434999999999995
A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.,11.76470588235294,7.2,1.2,5.4460999999999995
"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District.",2.631578947368421,11.7,3.04,6.844800000000001
"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race.",6.666666666666667,16.2,2.22,6.1296
"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . .",9.803921568627452,23.2,3.72,6.728300000000001
"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag.",6.451612903225806,14.2,2.29,6.8233999999999995
"According to Environment Commissioner Egbebike, local residents have also contributed to the problem.",7.6923076923076925,16.6,1.31,6.2562
"According to Google, Social Search will enhance the search experience on Google by providing users with more personally relevant search results.",4.761904761904762,12.7,1.82,6.486199999999999
"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused.",5.88235294117647,7.6,1.19,5.956
"According to insiders, the real ""This Is It"" plan was not a single film, but a three-year rollout to rehabilitate Jackson's deteriorated image.",8.0,14.6,1.78,5.7836
"According to my correspondent, this is a unique chance to sample home-style traditional Polish fare, including white borscht, pierogies, blintzes, golambki and much more.",20.0,13.8,2.16,6.745699999999999
"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy.",7.6923076923076925,7.2,1.01,5.3951
"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market.",0.0,11.1,1.92,7.018199999999998
"According to other forum posts on the web, someone was able to get this working on Cingular with the proper init/dial string, but this would be specific to the provider.",19.35483870967742,12.6,2.06,7.6838999999999995
"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia.",11.76470588235294,15.4,2.54,6.996300000000001
"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent.",2.380952380952381,16.5,2.86,8.014700000000001
"According to the complaint, Yee did not make any trades himself.",0.0,5.2,0.79,5.6575
"According to the News, ""When the nurse called for a student Thursday morning, Nikiyah's teacher misunderstood and sent the wrong student, [NIkyah's mother Naomi] Troy said.",3.571428571428571,12.3,2.16,7.4586999999999986
"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home.",3.7735849056603774,12.8,3.86,8.285300000000001
"According to this guide:  http://www.askdavetaylor.com/how_do_..._mac_os_x.html  I just need to add ""defaultos=macosx"" to the /etc/yaboot.conf file.",4.166666666666666,18.6,1.94,6.829000000000001
A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.,6.0606060606060606,15.4,2.57,7.025
"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B.",3.3333333333333335,11.5,2.01,6.288199999999999
A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.,0.0,13.8,1.94,6.0779
A complete experience will unfold that will be interactive and convert to new revenue streams.,20.0,10.3,1.18,6.2664
A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.,6.25,15.4,2.37,6.7133
"a couple of friends and i decided last minute we wanted to come to Ney York for New Years and the only hotels available are in Flushing, are there any subways near the hotles ion Flushing that will take us to times square or close to that?",10.638297872340425,16.9,2.84,7.171400000000001
A couple of Marriotts just opened.,0.0,2.1,0.43,5.5556
A couple of things to note first: You need Alien to convert the RPMS.,7.142857142857142,2.9,0.82,6.4413
"Across Yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years.",8.0,10.7,1.78,6.638
Activists dump tonnes of coal in Vattenfall protest (28 Oct 09),0.0,4.0,0.78,5.6261
"Activity through October in each of the world's six cyclone basins, from the North Atlantic to the Indian Ocean, has been at or below historical levels.",7.4074074074074066,12.3,1.87,6.142200000000001
"actually: do you (or anyone else here) happen to know whether it could work to simply write a udev-rule that executes a script on ACTION==""remove"" that spins-down the harddrive?",3.125,13.4,2.19,7.171
actually it was an xorg.conf problem.,14.285714285714285,6.8,0.47,5.1469000000000005
"Actually, LOl, it's a really old one, like 32 mb kinda sad really, this thing belongs more in a museum than in a school.",8.0,11.5,1.42,6.0268
"actually, now that you mention it, i think it does only crash after exiting if i have tested the presentation..",0.0,11.1,1.35,5.4312
"Adams, appointed in 2003 by then- Gov. Rod Blagojevich to lead the state's chief social services agency, was set to join the Department of Commerce and Economic Opportunity's Office of Trade and Investment in a newly created role as the ""Illinois representative to Africa.""",2.1739130434782608,11.9,3.38,6.738099999999999
"Adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected.",0.0,10.7,1.51,6.6088
"Adams says Chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship.",8.333333333333332,11.5,1.72,5.6447
"""Add a printer"" dialog should show up now",0.0,4.1,0.5,5.6058
ADDED: I swapped in a slightly different pic.,12.5,4.1,0.56,5.189500000000001
Add the following lines to your /etc/modprobe.d/blacklist file:,18.181818181818183,8.8,0.82,5.8316
"Add your shots to The Consumerist Flickr Pool, and perhaps they'll get featured in a future story, or even highlighted in a Friday Consumerist Flickr Pool Finds post.",3.4482758620689653,10.7,2.04,6.764399999999999
"A different display driver is used during boot, hence the fact that you see the Ubuntu boot splash, but not the Gnome log-in manager.",8.0,10.3,1.62,6.548099999999999
Adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.,0.0,9.5,1.53,6.118200000000001
"A diplomatic source said: ""Lord Ashcroft was part of the official party that was organised by Her Majesty's Opposition. His inclusion in the party certainly raised a few eyebrows in Washington, because he's a controversial figure.""",10.526315789473683,10.3,2.88,6.747699999999998
Admission to house; grounds free.,20.0,2.9,0.43,5.550599999999999
"A Downing Street staffer said: ""This is being taken very seriously. Diplomatic channels in the Foreign Office are working behind the scenes on David's behalf.""",3.8461538461538463,8.2,1.98,6.3643
"A dozen of the 50 Wal-Mart stores in Massachusetts, including the one in Raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year.",0.0,12.6,2.07,6.4977
"AFAIK, Linux doesn't use extensions to recognize the type of a file (I guess it uses MIME).",0.0,7.6,1.1,6.1208
"afaik ""remove"" in udev means unplugging the device, so trying to spin down the hard drive then would be useless.",15.0,7.6,1.37,6.9415
A Few Buck the Trend,20.0,-1.9,0.24,5.4697000000000005
A few companies have decided to buck the trend by not offering any employment contracts.,6.666666666666667,9.1,1.09,6.2073
A few days ago we got Motorola's Droid in the mail.,8.333333333333332,2.9,0.6,5.217300000000001
"A few hours from now, tens of thousands of runners will hit New York streets.",6.666666666666667,3.2,0.93,6.508000000000001
"A few of President Obama's top advisers, as well as one or two rare guests, sit down on the network sofas this Sunday.",12.5,8.7,1.41,6.153500000000001
"A few weeks earlier, one of Lozano's family members mockingly held up an official-looking document in Spanish, Hebert said.",14.285714285714285,11.9,1.54,5.8302
"A few were Maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid.",15.0,8.7,1.29,6.7363
"A few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school.",3.571428571428571,13.0,2.01,6.455400000000001
Afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.,5.88235294117647,6.4,1.16,5.2531
"Afghan intelligence chief Amrullah Saleh said Afghan authorities had advance information that a Taliban attack in Kabul was in the works but was expected it during rush hour, and officials were unsure of the target.",5.714285714285714,16.9,2.66,5.876800000000001
"A flamboyant farmworker organizer who called himself a modern-day Emiliano Zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said Saturday.",9.375,16.6,2.39,4.8370999999999995
A flotilla of rescue vessels continued its search Saturday for nine people feared dead at sea following an air collision between a Coast Guard aircraft and a Marine Corps helicopter.,3.3333333333333335,15.0,2.25,5.471300000000001
A former chief of the state human services agency has decided not to accept a new job offered by Gov. Pat Quinn to head an expanded trade office in Africa.,13.333333333333334,6.8,1.85,6.0328
"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far .",11.76470588235294,9.9,1.22,5.5496
A former top executive at hedge fund firm ValueAct Capital is one of seven people charged with trading on inside information in Acxiom Corp.,12.5,13.8,1.72,5.869300000000001
"After a few minor partitioning struggles, it is up and running fine.",33.33333333333333,8.0,0.84,5.4731000000000005
"After a few seconds, you should see a new icon for your printer.",15.384615384615385,3.6,0.76,5.8501
"After Afghan President Hamid Karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled.",4.545454545454546,9.5,1.6,6.3994
"After all, average investors aren't likely to sit down and read an 18-page contract.",6.25,8.8,1.04,5.1797
"After all, it's building its new 3-million-square-foot headquarters in Santa Clara - enough to house 11,000 workers.",9.523809523809524,9.5,1.47,5.870300000000001
"* After all these years, Bush is still a millstone around Blair's neck.",0.0,4.4,0.87,5.5873
"After another crushing loss, Washington State coach Paul Wulff took away the almost bowl-like atmosphere as at least one positive.",14.285714285714285,11.1,1.63,5.898
"After a week in which Ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition MPs condemned David Cameron for allowing the peer to attend crucial meetings with Britain's closest and most important ally as the Tories shape foreign policy in preparation for government.",13.725490196078432,22.4,3.92,8.075600000000001
"""After Beijing was selected, as soon as the ink on the contract was dry, the International Olympic Committee ceded control of the Games to the Communist Party of China,"" said Wallechinsky.",3.225806451612903,15.4,2.32,6.4144
"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue.",9.090909090909092,11.9,1.6,5.978700000000001
"After checked all log files it doesn't say has a too high frequency, so I can't understand...",10.526315789473683,7.6,1.13,5.401400000000001
"After Conrad announced her decision to bail on TV in the hopes of leading a more private life focused on her fashion career, producers brought in Conrad's old schoolmate, Kristin Cavallari, as a replacement.",5.714285714285714,15.4,2.56,6.348
"After consulting with all three parties that make up the national unity government, delegation head Oldemiro Baloi, the Mozambican Foreign Minister, told the media.",8.333333333333332,15.0,2.07,5.919700000000001
"After finishing 2-11 last season in Wulff's first year, the Cougars have four games left against Arizona, UCLA, Oregon State and Washington.",4.166666666666666,9.5,1.75,5.490600000000001
"After going to some issues, I got XMMS working on Ubuntu.",0.0,6.4,0.69,5.9391
"After helping her, he set off to return to his sailboat, which was anchored at the Avalon harbor.",0.0,8.0,1.18,5.9181
"After last week's fiasco, when an eastern span patch job fell apart after a mere seven weeks - we certainly hope so.",13.636363636363635,9.1,1.4,6.1961
"After Nichols connected with Tyler Hart for a 38-yard touchdown pass to give the Eagles a 7-2 lead, Johnson then intercepted Hubel for the second time in the first quarter.",9.375,12.6,2.1,7.4184
"After over eight hours use, with push email and Exchange active, WiFi and Bluetooth turned on, and plenty of use, we were still seeing 30-percent remaining charge.",3.571428571428571,10.3,2.01,6.6427000000000005
"After police did not oppose bail, Mr Zdenkowski set it at $10,000 and imposed strict conditions on Corben's freedom.",14.285714285714285,9.5,1.44,6.2691
"After reading many of your articles and Sarah Palin's facebook page, I knew it was time to get off the couch!",9.090909090909092,6.8,1.31,5.273300000000001
"After reading Squinky's how to I copy/pasted his /etc/ppp/peers/tmobile , gc89chat files it was 3 files.",0.0,8.0,1.31,5.950399999999999
"After school, he had picked up a plastic jug of kerosene for his mother, which he stowed along with his green backpack.",9.090909090909092,7.2,1.44,6.4405
"After she did so, the company wrote back saying it was reorganizing the department and would get back to her.",0.0,9.9,1.32,5.8209
"After some google search, I found that people all mentioned that   in /etc/X11/xorg.conf :  There is a section called ServerFlags",9.090909090909092,9.5,1.57,6.0968
"After that, the rounds of final inspections begin.",12.5,6.4,0.63,5.418500000000001
"After the House and Senate passed the bill on back-to-back partisan votes, the only folks doing a victory dance Friday were the Democrats who control the General Assembly and the governor's mansion.",5.714285714285714,15.8,2.45,6.9129999999999985
"After the incident, Almaleki drove to Mexico and abandoned his vehicle in Nogales, Peoria police said.",0.0,11.9,1.28,5.7258000000000004
"""After the rate hike last month, the Reserve Bank said that it wanted to get rates back towards a 'neutral' setting, which has traditionally been five to six per cent,"" Mr Eslake says.",6.0606060606060606,12.6,2.23,5.992500000000001
"After the visit, it instantly became one of my favorite breweries and still is (but you must like that kind of beer).",4.545454545454546,8.3,1.41,5.9195
"After they liquored up the girl with brandy, they proposed sex, according to several accounts by friends of those who were there but asked not to be named for fear of retaliation.",3.125,12.2,2.17,7.526399999999998
"After trying a number of complicated things, I happened to uninstall all of OO and reinstall it from the repos (in Adept).",4.545454545454546,10.7,1.48,6.0753
"After two and a half minutes, the main part of the 327-foot (100-meter) rocket splashed down as planned in the Atlantic Ocean as applause broke out in a relieved and excited NASA control room.",8.333333333333332,13.0,2.34,6.4735
Afterwards postgresql should start up as usual and everything's fine.,9.090909090909092,7.2,0.88,5.806
"After watching his team hold Charlotte to its franchise-low scoring output (59) in Wednesday's win, Rivers had complained that the offense lagged behind the defense.",7.4074074074074066,11.9,2.07,6.729200000000002
"A full review with performance benchmarks will be presented next week, so present any questions you'd like to see answered.",19.047619047619047,8.7,1.53,6.8248
"A further search of the house and property found two more bodies in a crawl space, and a sixth body was found in a shallow grave outside the home, Stacho said.",16.129032258064516,10.7,1.9,6.450500000000001
Again in your home directory run this command and post your xsession-errors file.,0.0,7.2,1.01,5.8981
Again maybe someone locally can respond.,0.0,6.8,0.51,5.1542
"Again, thank you for the work you do and please continue to spread the word for the Hoffman campaign.",0.0,6.0,1.22,6.06
Again: the truth just sounds different.,16.666666666666664,2.1,0.5,5.8951
A gain would be the fifth in the past six months.,9.090909090909092,0.5,0.57,5.5379000000000005
"A good conservative Hispanic candidate, Marco Rubio, is being dismissed in favor of the uber-liberal Charlie Crist in Florida.",25.0,14.2,1.59,5.3044
A good location near subways is one of the most important things to us!,14.285714285714285,6.4,0.85,5.7143
